open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1672572000000,1196.27000000,1196.49000000,1196.15000000,1196.49,154.3619,1672572299999,184662.19683500,505,70.72300000,84604.13991800,0
1672572300000,1196.49000000,1196.49000000,1196.09000000,1196.16,189.0631,1672572599999,226164.51631200,671,105.31960000,125984.35743100,0
1672572600000,1196.16000000,1196.27000000,1195.81000000,1196.17,318.7793,1672572899999,381272.58735500,774,112.61200000,134688.94266700,0
1672572900000,1196.17000000,1196.35000000,1196.16000000,1196.35,120.2481,1672573199999,143852.02777600,563,61.06810000,73055.06479400,0
1672573200000,1196.34000000,1196.44000000,1196.04000000,1196.05,334.0916,1672573499999,399677.62859000,781,154.74990000,185124.64150900,0
1672573500000,1196.04000000,1196.05000000,1195.81000000,1195.82,132.087,1672573799999,157976.12793400,509,53.94800000,64523.52618300,0
1672573800000,1195.81000000,1195.82000000,1195.72000000,1195.79,95.9177,1672574099999,114694.20062600,518,32.71540000,39119.25357500,0
1672574100000,1195.79000000,1196.35000000,1195.79000000,1196.34,175.6319,1672574399999,210079.02816900,505,120.82520000,144515.05639000,0
1672574400000,1196.35000000,1196.45000000,1196.21000000,1196.45,215.6824,1672574699999,258008.03339100,679,145.21330000,173710.54738900,0
1672574700000,1196.44000000,1196.45000000,1195.86000000,1195.9,241.2388,1672574999999,288526.78981500,760,106.12010000,126920.09753100,0
1672575000000,1195.90000000,1197.55000000,1195.83000000,1197.21,775.4008,1672575299999,927891.02197200,1114,601.62900000,719949.90156400,0
1672575300000,1197.21000000,1197.64000000,1197.21000000,1197.25,401.4926,1672575599999,480762.49478900,794,176.79590000,211700.66522400,0
1672575600000,1197.26000000,1197.38000000,1197.25000000,1197.25,186.58,1672575899999,223387.60123400,638,24.09730000,28850.97248800,0
1672575900000,1197.26000000,1198.50000000,1196.73000000,1197.88,1010.0352,1672576199999,1209517.59750500,1239,584.66830000,700126.33744800,0
1672576200000,1197.88000000,1198.36000000,1197.00000000,1197.14,604.0564,1672576499999,723560.54907000,997,224.47620000,268885.35908800,0
1672576500000,1197.14000000,1197.19000000,1197.03000000,1197.03,168.2359,1672576799999,201401.75704600,592,86.50570000,103561.69130800,0
1672576800000,1197.03000000,1197.04000000,1196.95000000,1197.02,136.4954,1672577099999,163386.84838300,511,46.46150000,55614.64556200,0
1672577100000,1197.03000000,1197.58000000,1197.02000000,1197.11,337.5991,1672577399999,404194.13724500,755,202.61250000,242568.44197700,0
1672577400000,1197.12000000,1197.17000000,1197.03000000,1197.16,144.4989,1672577699999,172984.03920600,552,74.48880000,89171.60938300,0
1672577700000,1197.15000000,1197.17000000,1197.03000000,1197.17,197.421,1672577999999,236334.71372200,597,87.87660000,105197.15982100,0
1672578000000,1197.16000000,1197.29000000,1196.86000000,1197.1,467.7696,1672578299999,559942.19885400,935,257.67120000,308437.47652500,0
1672578300000,1197.09000000,1197.28000000,1196.84000000,1196.85,227.871,1672578599999,272767.03941300,691,77.40470000,92650.92363000,0
1672578600000,1196.84000000,1196.85000000,1196.21000000,1196.37,243.9094,1672578899999,291840.66994700,861,88.79230000,106238.46056200,0
1672578900000,1196.38000000,1196.38000000,1196.01000000,1196.14,313.9213,1672579199999,375523.02346500,935,150.08500000,179533.96467400,0
1672579200000,1196.15000000,1196.15000000,1196.03000000,1196.04,162.6436,1672579499999,194539.93871100,672,76.45420000,91447.59347300,0
1672579500000,1196.03000000,1196.07000000,1195.67000000,1196.06,359.8389,1672579799999,430324.84354700,888,194.82920000,232988.89329400,0
1672579800000,1196.06000000,1196.12000000,1195.70000000,1195.71,174.8013,1672580099999,209056.11634600,616,69.73080000,83391.99724800,0
1672580100000,1195.71000000,1195.71000000,1193.54000000,1194.53,1896.3904,1672580399999,2265172.06070300,1920,555.42190000,663273.83366400,0
1672580400000,1194.53000000,1194.83000000,1194.34000000,1194.56,426.5206,1672580699999,509526.86746700,891,160.51050000,191739.65015100,0
1672580700000,1194.56000000,1194.81000000,1194.17000000,1194.68,276.2583,1672580999999,330001.85367200,683,106.19910000,126846.74629400,0
1672581000000,1194.69000000,1194.82000000,1194.68000000,1194.82,110.553,1672581299999,132084.85293100,568,88.72630000,106007.09783200,0
1672581300000,1194.81000000,1195.26000000,1194.81000000,1195.26,143.9716,1672581599999,172055.03378600,533,89.31660000,106734.04069700,0
1672581600000,1195.26000000,1195.48000000,1195.03000000,1195.4,433.3414,1672581899999,517965.40740700,904,281.19070000,336101.27161100,0
1672581900000,1195.41000000,1195.41000000,1194.69000000,1194.95,294.0201,1672582199999,351369.56887800,677,136.70520000,163344.83861100,0
1672582200000,1194.94000000,1195.50000000,1194.94000000,1195.49,206.697,1672582499999,247085.85415400,725,102.56580000,122601.83741100,0
1672582500000,1195.49000000,1195.59000000,1195.44000000,1195.59,142.3387,1672582799999,170164.67279600,615,107.48610000,128497.87497200,0
1672582800000,1195.58000000,1195.60000000,1195.48000000,1195.48,135.4707,1672583099999,161965.43841900,495,50.32240000,60163.89198700,0
1672583100000,1195.48000000,1195.86000000,1195.43000000,1195.59,434.5612,1672583399999,519599.08231900,689,126.17660000,150853.74259100,0
1672583400000,1195.58000000,1195.63000000,1195.58000000,1195.63,111.6821,1672583699999,133527.07803800,562,62.25660000,74433.92158000,0
1672583700000,1195.63000000,1195.63000000,1194.86000000,1195.01,329.7233,1672583999999,394087.38598600,736,146.51870000,175128.76888100,0
1672584000000,1195.01000000,1195.02000000,1194.84000000,1194.92,354.2258,1672584299999,423275.40203100,666,178.79230000,213648.75357700,0
1672584300000,1194.92000000,1195.21000000,1194.79000000,1195.03,275.2589,1672584599999,328920.01515500,593,162.09970000,193695.05355800,0
1672584600000,1195.03000000,1195.30000000,1195.02000000,1195.13,316.0051,1672584899999,377670.90388700,734,185.84070000,222100.40421800,0
1672584900000,1195.12000000,1195.13000000,1194.20000000,1194.5,462.9341,1672585199999,552992.73024800,924,110.57630000,132082.61091900,0
